City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Rio de Janeiro,UberX,COMPLETED,2022-08-14 11:52:24 +0000 UTC,2022-08-14 11:56:10 +0000 UTC,-22.903452,-43.099472,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-08-14 12:01:47 +0000 UTC,-22.919703,-43.093975,"Av. Quintino Bocaiúva, 151 - Loja 101 - São Francisco, Niterói - RJ, 24360-022, Brasil",1.81,9.92,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-06 18:32:54 +0000 UTC,2022-08-06 18:36:53 +0000 UTC,-22.89617,-43.1237,Plaza Niterói,2022-08-06 18:50:55 +0000 UTC,-22.903372,-43.099422,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.50,13.98,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-06 15:48:58 +0000 UTC,2022-08-06 15:58:57 +0000 UTC,-22.90336,-43.099483,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-08-06 16:13:07 +0000 UTC,-22.89067,-43.12382,"Av. Visconde do Rio Branco, 287 - Centro - Niterói - RJ, 24020-002",2.24,12.96,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-03 21:28:14 +0000 UTC,2022-08-03 21:36:54 +0000 UTC,-22.903435,-43.09952,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-08-03 22:09:08 +0000 UTC,-22.828537,-43.071556,"R. Joaquim de Almeida, 2 - Patronato, São Gonçalo - RJ, 24435-420, Brasil",7.80,29.97,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-31 22:46:35 +0000 UTC,2022-07-31 22:52:02 +0000 UTC,-22.896238,-43.123703,Plaza Niterói,2022-07-31 23:03:16 +0000 UTC,-22.903376,-43.09944,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.50,12.95,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-31 20:38:28 +0000 UTC,2022-07-31 20:42:24 +0000 UTC,-22.828512,-43.071655,"Rua Suzana de Almeida, 25 - Mangueira - São Gonçalo - RJ, 24435-435",2022-07-31 21:03:21 +0000 UTC,-22.89631,-43.124424,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",8.04,24.96,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-25 18:48:47 +0000 UTC,2022-07-25 18:53:10 +0000 UTC,-22.885307,-43.121246,"Av. Feliciano Sodré, S/N - Centro - Niterói - RJ, 24030",2022-07-25 19:10:34 +0000 UTC,-22.903347,-43.099476,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.76,13.95,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-22 10:58:30 +0000 UTC,2022-07-22 11:06:52 +0000 UTC,-22.903309,-43.099453,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-07-22 11:21:15 +0000 UTC,-22.88539,-43.121254,"Av. Feliciano Sodré, S/N - Centro - Niterói - RJ, 24030",2.94,13.93,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-21 17:50:39 +0000 UTC,2022-07-21 17:53:58 +0000 UTC,-22.82852,-43.07159,"Rua Suzana de Almeida, 25 - Mangueira - São Gonçalo - RJ, 24435-435",2022-07-21 18:30:46 +0000 UTC,-22.903397,-43.09949,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",8.85,24.96,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-21 17:10:28 +0000 UTC,2022-07-21 17:23:57 +0000 UTC,-22.90337,-43.09955,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-07-21 17:45:11 +0000 UTC,-22.8284,-43.07159,"R. Joaquim de Almeida, 2 - Patronato, São Gonçalo - RJ, 24435-420, Brasil",9.59,27.93,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-19 23:23:07 +0000 UTC,2022-07-19 23:26:29 +0000 UTC,-22.896055,-43.12381,Plaza Niterói,2022-07-19 23:40:38 +0000 UTC,-22.903389,-43.099438,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.49,14.95,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-19 21:42:56 +0000 UTC,2022-07-19 21:45:22 +0000 UTC,-22.90343,-43.099495,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-07-19 21:59:48 +0000 UTC,-22.896059,-43.12398,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.74,12.96,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-17 20:42:55 +0000 UTC,2022-07-17 20:49:08 +0000 UTC,-22.862925,-43.096577,"Rua Doutor Luiz Palmier, 344 - Barreto - Niterói - RJ, 24110",2022-07-17 21:03:45 +0000 UTC,-22.895996,-43.123764,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",3.94,16.91,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-17 17:49:10 +0000 UTC,2022-07-17 17:55:24 +0000 UTC,-22.9034,-43.099518,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-07-17 18:12:58 +0000 UTC,-22.862669,-43.09597,"R. Dr. Luiz Palmier, 344 - Barreto, Niterói - RJ, 24110-310, Brasil",4.09,19.99,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-17 03:48:46 +0000 UTC,2022-07-17 03:54:54 +0000 UTC,-22.82216,-42.976345,"Rua - Av. Mal. Póvoas, 86 - Lote 4, Quadra 19 - Lagoinha, São Gonçalo - RJ, 24736-590, Brasil",2022-07-17 04:21:14 +0000 UTC,-22.903408,-43.09954,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",11.90,39.99,BRL
Rio de Janeiro,UberX,COMPLETED,2022-07-16 22:28:09 +0000 UTC,2022-07-16 22:38:57 +0000 UTC,-22.903412,-43.099277,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-07-16 23:10:26 +0000 UTC,-22.822163,-42.97635,"Rua - Av. Mal. Póvoas, 86 - Lote 4, Quadra 19 - Lagoinha, São Gonçalo - RJ, 24736-590, Brasil",12.00,34.91,BRL
Rio de Janeiro,,UNFULFILLED,2022-07-16 22:21:15 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-22.904173,-43.092712,"Rua Doutor Mário Viana, 492 - Santa Rosa - Niterói - RJ, 24241-002",1970-01-01 00:00:00 +0000 UTC,-22.90419769287109,-43.09276413917542,"Rua Doutor Mário Viana, 492 - Santa Rosa - Niterói - RJ, 24241-002",0.00,0,BRL
