NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
VALE3.SA,2020-09-15,2020,09,15,2020-09,62.709999084472656,63.650001525878906,62.150001525878906,62.59999847412109,44.26805877685547,32570600,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-16,2020,09,16,2020-09,62.31999969482422,62.5,60.650001525878906,60.970001220703125,43.11539077758789,28843500,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-17,2020,09,17,2020-09,60.400001525878906,62.41999816894531,60.11000061035156,62.08000183105469,43.90033721923828,31397500,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-18,2020,09,18,2020-09,62.47999954223633,63.09999847412109,61.65999984741211,61.65999984741211,43.603328704833984,33143800,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-21,2020,09,21,2020-09,61.04999923706055,61.38999938964844,59.43999862670898,60.0,42.429447174072266,53120800,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-22,2020,09,22,2020-09,58.13999938964844,58.27999877929688,57.150001525878906,57.810001373291016,42.589691162109375,23996200,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-23,2020,09,23,2020-09,57.66999816894531,59.61000061035156,57.060001373291016,59.09999847412109,43.54005432128906,37365600,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-24,2020,09,24,2020-09,59.68999862670898,59.77999877929688,58.43999862670898,58.65999984741211,43.21590423583984,31607500,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-25,2020,09,25,2020-09,58.34999847412109,59.45000076293945,58.20000076293945,59.25,43.65056991577149,27582200,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-28,2020,09,28,2020-09,59.93999862670898,60.2400016784668,58.70000076293945,58.77999877929688,43.30430221557617,30265400,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-29,2020,09,29,2020-09,58.72999954223633,59.959999084472656,58.34999847412109,58.34999847412109,42.98751831054688,26201600,2023-09-07 01:29:18.064408
VALE3.SA,2020-09-30,2020,09,30,2020-09,59.209999084472656,60.27000045776367,58.75,59.11000061035156,43.54743194580078,25947500,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-01,2020,10,01,2020-10,59.52999877929688,59.84999847412109,58.02000045776367,58.86000061035156,43.36324691772461,22852700,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-02,2020,10,02,2020-10,58.61000061035156,59.43999862670898,58.11000061035156,58.31999969482422,42.96541976928711,23668800,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-05,2020,10,05,2020-10,58.900001525878906,59.84000015258789,58.75,59.59000015258789,43.90105056762695,17887200,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-06,2020,10,06,2020-10,60.0099983215332,60.27999877929688,58.209999084472656,58.619998931884766,43.18643569946289,21951600,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-07,2020,10,07,2020-10,59.13999938964844,60.7599983215332,58.959999084472656,60.16999816894531,44.32835006713867,27276500,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-08,2020,10,08,2020-10,60.34999847412109,61.4900016784668,60.060001373291016,61.290000915527344,45.15347290039063,22207400,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-09,2020,10,09,2020-10,61.68999862670898,61.93999862670898,60.84999847412109,61.59999847412109,45.38185119628906,21120900,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-13,2020,10,13,2020-10,61.27000045776367,62.63999938964844,61.02999877929688,62.13999938964844,45.77968978881836,18602200,2023-09-07 01:29:18.064408
